URL,Nome do Produto,Codigo de Barras,Data da Coleta
https://meggaatacadista.com.br/lombo-canadense-seara-kg-10010-13,Megga Atacadista,Não encontrado,2025-08-01T12:50:18.041203
https://meggaatacadista.com.br/frango-a-passarinha-levida-iqf-1kg-10021-13,FRANGO A PASSARINHA LEVIDA IQF 1KG,7898525450607,2025-08-01T12:50:22.018339
https://meggaatacadista.com.br/lenco-papel-fl-dupla-kleenex---10030-13,Megga Atacadista,Não encontrado,2025-08-01T12:50:24.049355
https://meggaatacadista.com.br/absorvente-interno-intimus-mini-8un---10051-13,Megga Atacadista,Não encontrado,2025-08-01T12:50:26.606721
https://meggaatacadista.com.br/absorvente-interno-intimus-medio-8un---10052-13,ABSORVENTE INTERNO INTIMUS MEDIO 8UN,7896007541867,2025-08-01T12:50:29.191062
https://meggaatacadista.com.br/absorvente-interno-intimus-super-8un---10053-13,ABSORVENTE INTERNO INTIMUS SUPER 8UN,7896007541874,2025-08-01T12:50:31.766180
https://meggaatacadista.com.br/pano-scott-duramax-rolo-un---10065-13,PANO SCOTT DURAMAX ROLO UN,7891172523328,2025-08-01T12:50:34.010076
https://meggaatacadista.com.br/protetor-diario-intimus-sens-fresc-15un-10097-13,PROTETOR DIARIO INTIMUS SENS FRESC 15UN,7896007540259,2025-08-01T12:50:36.303385
https://meggaatacadista.com.br/colonia-huggies-ext-suave-100ml-10123-13,COLONIA HUGGIES EXT SUAVE 100ML,7896018700383,2025-08-01T12:50:38.464536
https://meggaatacadista.com.br/ice-perestroika-limao-1l-10129-13,ICE PERESTROIKA LIMAO 1L,7897736409749,2025-08-01T12:50:40.693837
